horizon,mse,rmse,mae,mape,mdape,smape,coverage
5 days 16:00:00,2.3183026590345284,1.5225973397568144,1.180816701477167,0.38496127164789623,0.2312782496543712,0.32136091206739364,0.6488081536895224
5 days 17:00:00,2.3409912841515608,1.5300298311312628,1.1876983884532413,0.3891679057120703,0.2349244340749957,0.32371910749543903,0.6460858306405205
5 days 18:00:00,2.3748133337662285,1.5410429370287606,1.197542828043487,0.3956174676402248,0.23673251709408383,0.32737560693213374,0.6435416758886282
5 days 19:00:00,2.404363666454871,1.5506010661852618,1.2081330788865319,0.4015226635870125,0.24102688947231882,0.3313677809837032,0.6378790226196273
5 days 20:00:00,2.4293187579743356,1.5586272030137083,1.217784299485202,0.40696659677847896,0.24708319037419657,0.3352865660355617,0.6342149528573325
5 days 21:00:00,2.446956813405594,1.5642751718945085,1.2258019966862759,0.41123553824256837,0.25026054868712083,0.33876083825886333,0.6329810544021955
5 days 22:00:00,2.465730273708672,1.5702643961157217,1.233763586849722,0.4165098315530054,0.2536326974772261,0.3424237619955996,0.630077243149927
5 days 23:00:00,2.478362073916806,1.5742814468565671,1.2391529327542012,0.42024811969752274,0.2563735207774141,0.34510700969521246,0.627429064671772
6 days 00:00:00,2.474916189361002,1.5731866352601023,1.2393082788302026,0.420805495629303,0.2572639831617519,0.34578795535166396,0.6277942543490771
6 days 01:00:00,2.4598349380596827,1.568386093428427,1.2351201959644769,0.41702711375322016,0.25784211344782987,0.3442704096022984,0.6297175866495507
6 days 02:00:00,2.439064952236863,1.5617506050060819,1.2280197129221233,0.4115543131729883,0.25576102830959013,0.34135615573466416,0.6328770306759329
6 days 03:00:00,2.4167404220871878,1.5545868975670636,1.2194734833554026,0.40541446780392176,0.2542669834784157,0.33765181331064464,0.6364713824089239
6 days 04:00:00,2.3951965935118986,1.5476422692314586,1.2100883817791572,0.3988519185772038,0.2523987371961458,0.3333598033432914,0.6405371608162542
6 days 05:00:00,2.375855703456918,1.5413811026014683,1.2024150864200813,0.39210385544706367,0.24890421782996602,0.32944720651487014,0.6447479084591209
6 days 06:00:00,2.367068593078675,1.5385280605431526,1.1975819273343664,0.38768607281002154,0.2457328166265269,0.3266108456025128,0.6476506130760038
6 days 07:00:00,2.3628430196902666,1.5371541951574885,1.1939375407120363,0.3840743014128008,0.24305361046836038,0.3242740286263038,0.6504094550927361
6 days 08:00:00,2.3676909419944194,1.5387303019029746,1.1930813373042584,0.3818739351644127,0.24145691752176318,0.3227600653311744,0.6518967730512151
6 days 09:00:00,2.3702099682013986,1.539548624825276,1.1927075210857498,0.37991402148427417,0.24013081854802848,0.3215678553983596,0.6535301668806162
6 days 10:00:00,2.3734064854707517,1.5405864096086113,1.193288970134413,0.3796122341215132,0.2386094334245253,0.32112245662826466,0.6539285556194945
6 days 11:00:00,2.3774586111348235,1.5419009731934226,1.1946275094981442,0.37988471913510624,0.23871108666595636,0.32115493796134326,0.6544741268646806
6 days 12:00:00,2.3875945502414204,1.5451843094729574,1.1975965250924734,0.38159957187801646,0.2392351286518753,0.3220337433928502,0.6550163782037095
6 days 13:00:00,2.400077688757583,1.5492184122187493,1.2008933333380163,0.3836927518162479,0.23967541690731642,0.3229376693600409,0.6544342879907927
6 days 14:00:00,2.408011178514295,1.5517767811493686,1.203971645886593,0.38522509615463,0.2403352135938489,0.32363551974884064,0.6531660838386968
6 days 15:00:00,2.4098040924688697,1.5523543707764893,1.2057271578351931,0.3852960366401799,0.24099533144192253,0.32370725221520696,0.653892036651764
6 days 16:00:00,2.424369101335921,1.5570385677098435,1.2104801434453631,0.3881109448146732,0.2422232832294829,0.3250596215450084,0.652111460316055
6 days 17:00:00,2.4488095127585288,1.5648672508422332,1.2186139061926435,0.39245628504572827,0.2456423607814498,0.3278464360892451,0.6477192244699216
6 days 18:00:00,2.482582797760581,1.5756214005149147,1.2305457133759823,0.4004573678109235,0.24845681408362943,0.3326487738634785,0.6427448984108716
6 days 19:00:00,2.5174237470895724,1.5866391357487601,1.2431183327992719,0.4092003163238038,0.25186985003755613,0.338029670442526,0.6376278163870568
6 days 20:00:00,2.547854289944747,1.5961999529960984,1.2544330595788997,0.4173981707910128,0.25467618662682295,0.34324071905910347,0.6343975476959851
6 days 21:00:00,2.578373430823255,1.6057314317230185,1.2647318122611257,0.42532928541026693,0.2587592846415282,0.3483204685886781,0.6324376964277809
6 days 22:00:00,2.6088063252495433,1.6151799668301805,1.2744187877647342,0.43321167738787036,0.2620012146914387,0.3533221725205217,0.629789517949626
6 days 23:00:00,2.6337659103738678,1.6228881385893077,1.2813790076044518,0.4399303757235388,0.26488198175467226,0.3572364143971409,0.6296799610464344
7 days 00:00:00,2.65710985485329,1.6300643713833176,1.2865491938812006,0.44430546427818135,0.2653168744041382,0.3598968228119885,0.6297541056172812
